genetree,Constrained_AU,absolute_delta,relative_AB,ABlength,splitscore,ABsplit,MAD_r2t
p0384,0.000146,601.28,1.91524828320434,2.816E-06,46.4,10,1.91062154932489
p0386,7.32E-50,2917.4,1.10513723431208,0.0070212562,62.7,17.7,5.0919574429878
p0387,1.02E-58,2194.5,1.11143451968263,0.0219267937,59.5,19.3,6.62088170260244
p0388,3.06E-53,1883.5,1.04613828070098,2.4325E-06,59.3,17.9,1.70297012148448
p0389,0.214,79.83,17.1380266759763,1.357527743,22.1,4,0.969385187209359
p0390,0.000539,555.82,1.79747707378881,2.3766E-06,39,8.3,5.49433406750506
p0391,9.72999999999999E-72,1908.9,1.22554599067882,2.7944E-06,65.9,14.6,1.88963789196299
p0392,2.1E-48,1505.1,1.07180041821697,0.0084514967,49.1,12.4,2.85998023210938
p0393,1.21E-05,868.49,1.62874112121859,0.0070001719,49.1,13.1,1.02045296825565
p0394,1.47E-51,1750.9,1.27066542435786,2.3256E-06,41,13.3,2.54539703357756
p0395,9.97E-15,1744.4,1.15225120493388,2.667E-06,46.3,13.9,4.65014972008243
p0396,0.0339,168.37,13.455330132837,2.8162E-06,37.8,11.3,7.07770185688917
p0398,0.253,42.594,2.08107642549436,0.6698089207,38.4,10.4,6.87855089027958
